score,key,from_version,to_version,similarity,edge_lost,edge_gained,euphemism_hits,old_preview,new_preview
34.45,Journal_General_FrontendNewspaperHeadlines_Content,4.3.2-LIVE,4.4.0-PTU,0.0187,,kill,,"AMELIA BOYD SPOTTED IN STANTON | Guild members advised to be on the lookout for Boyd.  |  | Multiple confirmed sightings of Amelia Boyd in Stanton have some Mercenary Guild officials concerned. Boyd’s movements coincide with increased activity by Frontier Fighters in both Stanton and Pyro, leading to speculation that another attack may be imminent. This activity comes amidst rumors of internal fighting ","VOX POPULI | The Voice of the People’s Alliance | November 2955 |  | ALBERTSON FAMILY KILLED IN VANDUUL RAID  | Governing committee offers condolences but no solutions as the death toll continues to rise. |  | The Albertson Family Mining Post had just started its shift, when the Vanduul raiders struck without warning, killing the entire crew within moments. As the horrific trend of Vanduul attacks continues wel"
31.93,Journal_General_FrontendNewspaperHeadlines_From,4.3.2-LIVE,4.4.0-PTU,0.1818,,,,Crosshair: Mercenary Guild News,VOX POPULI: The Voice of the People’s Alliance
31.62,item_Desc_srvl_heavy_armor_01_Shared,4.3.2-LIVE,4.4.0-PTU,0.1896,,,,"Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s |  | Some consider the Overlords heroes and other criminals. Doomsday doesn't care either way. All we know is that the vigilante group that made a name for itself targeting outlaws in Pyro has some kickass, distinct, and resilient armor. Since we respect the rule of","Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s |  | The Overlord armor lets your foes know that you mean business. This heavy armor set is constructed with durable composite plating strategically placed to disperse the force of impacts and a high, reinforced collar that provides additional protection for your ne"
30.67,item_Desc_srvl_heavy_armor_01_legs,4.3.2-LIVE,4.4.0-PTU,0.2133,,,,"Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s | Carrying Capacity: 8.0 µSCU |  | Some consider the Overlords heroes and other criminals. Doomsday doesn't care either way. All we know is that the vigilante group that made a name for itself targeting outlaws in Pyro has some kickass, distinct, and resilient armor. ","Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s | Carrying Capacity: 7.5 µSCU |  | The Overlord armor lets your foes know that you mean business. This heavy armor set is constructed with durable composite plating strategically placed to disperse the force of impacts and a high, reinforced collar that provides addit"
30.1,item_Desc_srvl_heavy_core_01,4.3.2-LIVE,4.4.0-PTU,0.2276,,,,"Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s | Carrying Capacity: 8.0 µSCU | Backpacks: All |  | Some consider the Overlords heroes and other criminals. Doomsday doesn't care either way. All we know is that the vigilante group that made a name for itself targeting outlaws in Pyro has some kickass, distinct, and re","Item Type: Heavy Armor | Damage Reduction: 40% | Temp. Rating: -77 / 107 °C | Radiation Protection: 26800 REM | Radiation Scrub Rate: 145.8 REM/s | Carrying Capacity: 12.0 µSCU | Backpacks: All |  | The Overlord armor lets your foes know that you mean business. This heavy armor set is constructed with durable composite plating strategically placed to disperse the force of impacts and a high, reinforced collar tha"
20.79,item_Desc_srvl_undersuit_02_01_02,4.3.2-LIVE,4.4.0-PTU,0.4603,,,,"Item Type: Undersuit | Damage Reduction: 10% | Temp. Rating: -30 / 60 °C | Radiation Protection: 15200 REM | Radiation Scrub Rate: 81 REM/s | Carrying Capacity: 8.0 µSCU |  | Roughly sewn together from a variety of ransacked materials, the Wastelander undersuit will just about do the job. This version features a bold rust color.","Item Type: Undersuit | Damage Reduction: 10% | Temp. Rating: -30 / 60 °C | Radiation Protection: 15200 REM | Radiation Scrub Rate: 81 REM/s |  | Roughly sewn together from a variety of ransacked materials, the Wastelander undersuit will just about do the job. This version features a bold rust color."
16.86,defend_UGF_obj_long_02,4.3.2-LIVE,4.4.0-PTU,0.5586,,,,Defend the site against ~mission(DefendWaveNumber) waves of hostiles.,Defend the site against oncoming attackers
16.8,Journal_General_FrontendNewspaperHeadlines_Title,4.3.2-LIVE,4.4.0-PTU,0.56,,,,Crosshair - October 2955,Vox Populi - November 2955
15.13,civilian_localdelivery_holiday_desc_004,4.3.2-LIVE,4.4.0-PTU,0.6017,,,,"I know things get busy around the holidays, but I was reaching out to see if you had any extra time to do a delivery run. |  | Got a few presents at <EM4>~mission(Pickup1|Address)</EM4> for close friends that I won't be able to deliver myself.  | You would need to take one to ~mission(GiftRecipient1) at <EM4>~mission(DropOff1)</EM4>, another to ~mission(GiftRecipient2) at <EM4>~mission(DropOff2)</EM4>, ","I know things get busy around the holidays, but I was reaching out to see if you had any extra time to do a delivery run. |  | Got a few presents at <EM4>~mission(Location|Address)</EM4> for close friends that I won't be able to deliver myself. ~mission(DescriptionSetup) |  | Much appreciated, | ~mission(GiftSender)"
12.96,civilian_localdelivery_holiday_desc_002,4.3.2-LIVE,4.4.0-PTU,0.6561,,,,I'm in desperate need of a little Luminalia magic and I hope you're the one to help. |  | There are three gifts stuck at <EM4>~mission(Pickup1|Address)</EM4> that need to be delivered.  |  | I tried scheduling a pick up but just got notified that they won't be able to make it until after the holidays. Would you be able to take care of the deliveries for me? I'll gladly pay you what I was going to give the,I'm in desperate need of a little Luminalia magic and I hope you're the one to help. |  | There are some gifts stuck at <EM4>~mission(Location|Address)</EM4> that need to be delivered.  |  | I tried scheduling a pick up but just got notified that they won't be able to make it until after the holidays. Would you be able to take care of the deliveries for me? I'll gladly pay you what I was going to give the
